
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 15:15:57 2017

Changed value of parameter logfile to result/NEIS-20170608T1453/scenario_CO2-price-0010.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [3e-03, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 2.97s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.43s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   3.74498165e+11 -2.71538744e+11  8.79e+02 6.66e+03  2.06e+07     5s
   1   2.95597984e+11 -9.41542590e+10  6.46e+02 1.38e+04  6.75e+06     5s
   2   2.88628990e+11 -6.53671985e+10  6.37e+02 6.79e+03  5.94e+06     6s
   3   1.92879571e+11 -9.02628060e+10  4.16e+02 2.19e+02  3.94e+06     6s
   4   5.43332756e+09 -7.68499883e+10  6.04e+00 6.03e+00  1.59e+05     7s
   5   7.93928699e+08 -9.52465202e+09  5.84e-01 4.44e-06  1.60e+04     7s
   6   3.18387560e+08 -3.62136806e+09  1.34e-01 2.00e-06  5.51e+03     8s
   7   1.51577052e+08 -1.33384088e+09  1.67e-02 1.16e-06  2.00e+03     8s
   8   1.13916982e+08 -3.78303979e+08  8.49e-03 2.69e-07  6.62e+02     9s
   9   9.47527025e+07 -3.32013069e+08  5.11e-03 1.57e-07  5.73e+02     9s
  10   6.43396965e+07 -2.21534078e+08  2.54e-03 1.73e-07  3.84e+02    10s
  11   5.43167643e+07 -1.18080737e+08  1.49e-03 9.57e-08  2.31e+02    10s
  12   4.28408358e+07 -3.28855888e+07  6.35e-04 3.89e-08  1.02e+02    11s
  13   2.95393925e+07 -1.52779015e+07  2.85e-04 2.73e-08  6.01e+01    11s
  14   2.17534559e+07 -1.13179103e+07  1.58e-04 2.31e-08  4.43e+01    12s
  15   1.80545108e+07 -1.61406444e+05  1.01e-04 1.33e-08  2.44e+01    12s
  16   1.64304641e+07  3.26665335e+06  7.91e-05 6.30e-09  1.76e+01    13s
  17   1.49039151e+07  5.91964790e+06  5.82e-05 3.77e-09  1.20e+01    13s
  18   1.33511307e+07  7.64480032e+06  3.67e-05 1.06e-09  7.65e+00    14s
  19   1.29874965e+07  8.39979731e+06  3.19e-05 1.22e-09  6.15e+00    14s
  20   1.23563400e+07  9.41868620e+06  2.36e-05 3.28e-10  3.94e+00    15s
  21   1.21663712e+07  9.62593558e+06  2.06e-05 5.24e-10  3.41e+00    15s
  22   1.17542203e+07  9.89566759e+06  1.58e-05 7.71e-10  2.49e+00    16s
  23   1.14491534e+07  1.00519543e+07  1.15e-05 7.71e-10  1.87e+00    16s
  24   1.11145700e+07  1.01180152e+07  7.54e-06 6.84e-10  1.34e+00    17s
  25   1.08813763e+07  1.02201045e+07  4.76e-06 4.80e-10  8.86e-01    17s
  26   1.08420196e+07  1.02851313e+07  4.30e-06 2.91e-10  7.46e-01    18s
  27   1.08102023e+07  1.03016566e+07  3.92e-06 6.98e-10  6.82e-01    18s
  28   1.07903258e+07  1.03134399e+07  3.68e-06 7.57e-10  6.39e-01    19s
  29   1.07719597e+07  1.03271877e+07  3.46e-06 1.44e-09  5.96e-01    19s
  30   1.07445719e+07  1.03638687e+07  3.12e-06 3.35e-10  5.10e-01    20s
  31   1.07180815e+07  1.03750181e+07  2.79e-06 1.25e-09  4.60e-01    20s
  32   1.07025728e+07  1.04077555e+07  2.61e-06 2.53e-09  3.95e-01    20s
  33   1.06763552e+07  1.04156728e+07  2.31e-06 3.08e-09  3.49e-01    21s
  34   1.06619700e+07  1.04309830e+07  2.14e-06 4.31e-09  3.10e-01    22s
  35   1.06464944e+07  1.04349940e+07  1.95e-06 4.34e-09  2.83e-01    22s
  36   1.06390472e+07  1.04385772e+07  1.86e-06 4.93e-09  2.69e-01    23s
  37   1.06315573e+07  1.04425707e+07  1.77e-06 5.28e-09  2.53e-01    23s
  38   1.06203668e+07  1.04487049e+07  1.63e-06 5.64e-09  2.30e-01    23s
  39   1.06035753e+07  1.04565596e+07  1.44e-06 8.14e-09  1.97e-01    24s
  40   1.05817542e+07  1.04605849e+07  1.19e-06 7.60e-09  1.62e-01    24s
  41   1.05585855e+07  1.04636260e+07  9.19e-07 6.68e-09  1.27e-01    25s
  42   1.05472026e+07  1.04697571e+07  7.74e-07 3.45e-09  1.04e-01    26s
  43   1.05396636e+07  1.04711196e+07  6.79e-07 2.46e-09  9.19e-02    26s
  44   1.05343400e+07  1.04725060e+07  6.13e-07 3.09e-09  8.29e-02    26s
  45   1.05312609e+07  1.04729559e+07  5.74e-07 3.41e-09  7.82e-02    27s
  46   1.05284702e+07  1.04745613e+07  5.42e-07 4.16e-09  7.23e-02    27s
  47   1.05244626e+07  1.04757581e+07  4.92e-07 3.20e-09  6.53e-02    28s
  48   1.05215014e+07  1.04765806e+07  4.56e-07 2.24e-09  6.02e-02    28s
  49   1.05120483e+07  1.04776213e+07  3.46e-07 2.07e-09  4.61e-02    29s
  50   1.05107451e+07  1.04789895e+07  3.30e-07 1.76e-09  4.26e-02    30s
  51   1.05091525e+07  1.04791543e+07  3.10e-07 1.54e-09  4.02e-02    30s
  52   1.05076152e+07  1.04794700e+07  2.91e-07 1.97e-09  3.77e-02    30s
  53   1.05058642e+07  1.04799757e+07  2.70e-07 1.77e-09  3.47e-02    31s
  54   1.05033529e+07  1.04803920e+07  2.42e-07 2.73e-09  3.08e-02    31s
  55   1.05027047e+07  1.04806234e+07  2.34e-07 3.64e-09  2.96e-02    32s
  56   1.05002888e+07  1.04810391e+07  2.05e-07 4.22e-09  2.58e-02    32s
  57   1.04984631e+07  1.04815185e+07  1.84e-07 5.42e-09  2.27e-02    33s
  58   1.04975553e+07  1.04816176e+07  1.73e-07 5.86e-09  2.14e-02    34s
  59   1.04965230e+07  1.04817223e+07  1.60e-07 6.46e-09  1.98e-02    34s
  60   1.04963157e+07  1.04819453e+07  1.57e-07 6.54e-09  1.93e-02    34s
  61   1.04960509e+07  1.04820102e+07  1.54e-07 6.56e-09  1.88e-02    35s
  62   1.04947039e+07  1.04822658e+07  1.38e-07 7.03e-09  1.67e-02    35s
