
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 15:48:18 2017

Changed value of parameter logfile to result/NEIS-20170608T1453/scenario_CO2-price-1000.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [3e-03, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 2.48s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.37s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   3.76992571e+11 -2.71405067e+11  8.79e+02 6.28e+03  2.06e+07     4s
   1   2.98144704e+11 -9.40508639e+10  6.46e+02 1.38e+04  6.74e+06     4s
   2   2.91086703e+11 -6.58536270e+10  6.37e+02 6.78e+03  5.95e+06     5s
   3   1.95989407e+11 -9.06757113e+10  4.17e+02 2.71e+02  3.99e+06     6s
   4   5.64477175e+09 -7.63431649e+10  5.35e+00 1.08e+00  1.53e+05     6s
   5   1.20993006e+09 -8.98459737e+09  5.29e-01 6.61e-06  1.56e+04     7s
   6   5.79138932e+08 -2.25588309e+09  1.11e-01 8.34e-06  3.94e+03     7s
   7   3.68346754e+08 -5.38344374e+08  4.26e-02 2.86e-06  1.24e+03     8s
   8   2.31186084e+08 -2.80922165e+08  2.34e-02 1.74e-06  6.93e+02     8s
   9   1.25815745e+08 -4.15162549e+07  5.38e-03 5.48e-07  2.25e+02     9s
  10   8.16846411e+07  2.43331888e+07  1.85e-03 6.64e-08  7.70e+01     9s
  11   6.93896839e+07  3.68522118e+07  1.18e-03 2.14e-08  4.37e+01    10s
  12   6.15690375e+07  4.03069323e+07  7.69e-04 1.39e-08  2.85e+01    10s
  13   5.76241290e+07  4.15808544e+07  5.57e-04 8.05e-09  2.15e+01    11s
  14   5.49533120e+07  4.35708286e+07  4.20e-04 7.93e-09  1.53e+01    11s
  15   5.38190914e+07  4.40641552e+07  3.54e-04 4.44e-09  1.31e+01    12s
  16   5.19731968e+07  4.50038435e+07  2.58e-04 4.85e-09  9.35e+00    12s
  17   5.14645877e+07  4.55703653e+07  2.32e-04 3.57e-09  7.91e+00    13s
  18   5.06340444e+07  4.59461836e+07  1.85e-04 2.34e-09  6.29e+00    13s
  19   5.00407234e+07  4.61564923e+07  1.52e-04 1.79e-09  5.21e+00    14s
  20   4.98293011e+07  4.62215261e+07  1.40e-04 1.72e-09  4.84e+00    14s
  21   4.96880548e+07  4.62690516e+07  1.32e-04 1.92e-09  4.59e+00    15s
  22   4.94676928e+07  4.66495280e+07  1.19e-04 1.64e-09  3.78e+00    15s
  23   4.93072104e+07  4.67023489e+07  1.10e-04 1.41e-09  3.49e+00    16s
  24   4.91404970e+07  4.67620755e+07  1.01e-04 9.46e-10  3.19e+00    16s
  25   4.88062503e+07  4.69314850e+07  8.12e-05 7.64e-10  2.51e+00    17s
  26   4.85355818e+07  4.70220732e+07  6.49e-05 5.38e-10  2.03e+00    17s
  27   4.84328729e+07  4.70591055e+07  5.88e-05 1.92e-09  1.84e+00    18s
  28   4.82922999e+07  4.70923306e+07  5.02e-05 4.00e-10  1.61e+00    18s
  29   4.82534223e+07  4.71397462e+07  4.79e-05 4.80e-10  1.49e+00    19s
  30   4.82187464e+07  4.71567704e+07  4.58e-05 9.31e-10  1.42e+00    19s
  31   4.82000828e+07  4.71927118e+07  4.47e-05 2.56e-09  1.35e+00    20s
  32   4.80587106e+07  4.72199867e+07  3.66e-05 6.98e-10  1.13e+00    20s
  33   4.79647881e+07  4.72389643e+07  3.12e-05 2.79e-09  9.74e-01    21s
  34   4.78819329e+07  4.72610946e+07  2.64e-05 1.63e-09  8.33e-01    21s
  35   4.78472103e+07  4.72704987e+07  2.43e-05 2.62e-09  7.74e-01    22s
  36   4.78058301e+07  4.72910633e+07  2.17e-05 4.07e-10  6.91e-01    22s
  37   4.77710646e+07  4.72937367e+07  1.95e-05 1.16e-10  6.40e-01    23s
  38   4.77171452e+07  4.73317564e+07  1.64e-05 3.86e-10  5.17e-01    23s
  39   4.77007002e+07  4.73450522e+07  1.54e-05 3.35e-10  4.77e-01    24s
  40   4.76601395e+07  4.73512057e+07  1.31e-05 2.91e-10  4.14e-01    24s
  41   4.76454855e+07  4.73582965e+07  1.22e-05 2.15e-10  3.85e-01    25s
  42   4.76232412e+07  4.73631650e+07  1.09e-05 1.11e-09  3.49e-01    25s
  43   4.76145427e+07  4.73664038e+07  1.03e-05 6.40e-10  3.33e-01    26s
  44   4.76066774e+07  4.73714479e+07  9.87e-06 6.40e-10  3.16e-01    26s
  45   4.75954825e+07  4.73789392e+07  9.20e-06 2.04e-10  2.90e-01    27s
  46   4.75840723e+07  4.73830603e+07  8.53e-06 1.53e-10  2.70e-01    27s
  47   4.75727771e+07  4.73847451e+07  7.84e-06 1.60e-10  2.52e-01    28s
  48   4.75608335e+07  4.73908712e+07  7.16e-06 1.57e-09  2.28e-01    28s
  49   4.75405942e+07  4.73952987e+07  5.91e-06 2.33e-10  1.95e-01    29s
  50   4.75327585e+07  4.73992182e+07  5.45e-06 8.67e-11  1.79e-01    30s
  51   4.75232389e+07  4.74020919e+07  4.85e-06 8.73e-11  1.62e-01    30s
  52   4.75179207e+07  4.74043116e+07  4.51e-06 8.15e-10  1.52e-01    30s
  53   4.75134344e+07  4.74100017e+07  4.23e-06 1.05e-09  1.39e-01    31s
  54   4.75027427e+07  4.74177035e+07  3.57e-06 1.86e-09  1.14e-01    31s
  55   4.75007706e+07  4.74198672e+07  3.46e-06 1.34e-09  1.09e-01    32s
  56   4.74946318e+07  4.74209592e+07  3.10e-06 2.69e-10  9.88e-02    32s
  57   4.74873692e+07  4.74245041e+07  2.67e-06 1.22e-09  8.43e-02    33s
  58   4.74827508e+07  4.74268685e+07  2.40e-06 7.57e-10  7.50e-02    34s
  59   4.74822082e+07  4.74277003e+07  2.37e-06 2.04e-10  7.31e-02    34s
  60   4.74810787e+07  4.74281228e+07  2.30e-06 8.15e-10  7.10e-02    34s
  61   4.74797553e+07  4.74285196e+07  2.22e-06 7.85e-11  6.87e-02    35s
  62   4.74778975e+07  4.74290530e+07  2.11e-06 2.04e-09  6.55e-02    35s
  63   4.74757645e+07  4.74296379e+07  1.98e-06 9.13e-11  6.19e-02    36s
  64   4.74735182e+07  4.74311190e+07  1.84e-06 1.09e-10  5.69e-02    36s
  65   4.74702798e+07  4.74322344e+07  1.65e-06 1.60e-10  5.10e-02    37s
  66   4.74682795e+07  4.74328570e+07  1.53e-06 1.16e-09  4.75e-02    38s
