
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 13:17:32 2017

Changed value of parameter logfile to result/NEIS-20170608T1255/scenario_base.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 2.91s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.42s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   3.74492652e+11 -2.71537421e+11  8.79e+02 6.66e+03  2.06e+07     5s
   1   2.95590887e+11 -9.41511296e+10  6.46e+02 1.38e+04  6.75e+06     5s
   2   2.88619777e+11 -6.54346397e+10  6.37e+02 6.79e+03  5.95e+06     6s
   3   1.92790909e+11 -9.02797818e+10  4.16e+02 2.06e+02  3.93e+06     6s
   4   5.46100253e+09 -7.67916870e+10  6.06e+00 6.00e+00  1.59e+05     7s
   5   8.00050895e+08 -7.18253799e+09  5.94e-01 5.02e-06  1.28e+04     7s
   6   2.90822072e+08 -2.51041589e+09  1.22e-01 4.53e-06  3.94e+03     8s
   7   1.19190440e+08 -5.48175270e+08  1.59e-02 1.73e-06  9.03e+02     8s
   8   9.32780409e+07 -3.41234719e+08  6.38e-03 8.33e-07  5.85e+02     9s
   9   4.95221752e+07 -7.04440604e+07  9.78e-04 1.24e-07  1.61e+02    10s
  10   3.27610114e+07 -1.84717819e+07  2.86e-04 4.14e-08  6.87e+01    10s
  11   2.38354372e+07  6.84021258e+05  1.32e-04 1.30e-08  3.10e+01    11s
  12   1.72366890e+07  1.83481021e+06  6.83e-05 9.81e-09  2.06e+01    11s
  13   1.43165277e+07  5.78837072e+06  4.04e-05 5.87e-09  1.14e+01    12s
  14   1.41240846e+07  7.23015458e+06  3.86e-05 3.97e-09  9.24e+00    12s
  15   1.27713411e+07  7.88338031e+06  2.64e-05 2.80e-09  6.55e+00    13s
  16   1.22711499e+07  8.44294079e+06  2.21e-05 1.93e-09  5.13e+00    13s
  17   1.11533994e+07  8.80052291e+06  1.21e-05 1.45e-09  3.15e+00    14s
  18   1.09471209e+07  8.94398100e+06  1.02e-05 1.19e-09  2.68e+00    15s
  19   1.08235107e+07  9.04382889e+06  8.98e-06 1.09e-09  2.39e+00    15s
  20   1.07773084e+07  9.12520870e+06  8.44e-06 1.09e-09  2.21e+00    16s
  21   1.07539930e+07  9.19619997e+06  8.20e-06 9.74e-10  2.09e+00    16s
  22   1.06741955e+07  9.31972068e+06  7.40e-06 8.31e-10  1.82e+00    17s
  23   1.06584033e+07  9.35259306e+06  7.20e-06 7.27e-10  1.75e+00    17s
  24   1.06032874e+07  9.45370195e+06  6.60e-06 6.12e-10  1.54e+00    18s
  25   1.04338666e+07  9.54096269e+06  4.64e-06 5.68e-10  1.20e+00    19s
  26   1.03601115e+07  9.62985939e+06  3.77e-06 4.27e-10  9.79e-01    19s
  27   1.02997818e+07  9.67313949e+06  3.04e-06 3.92e-10  8.40e-01    20s
  28   1.02772197e+07  9.69777582e+06  2.79e-06 3.36e-10  7.77e-01    20s
  29   1.02549504e+07  9.71640977e+06  2.54e-06 4.95e-10  7.22e-01    21s
  30   1.02329744e+07  9.75090967e+06  2.31e-06 3.20e-10  6.46e-01    21s
  31   1.02174709e+07  9.78319819e+06  2.12e-06 2.49e-10  5.82e-01    22s
  32   1.01647302e+07  9.82325613e+06  1.53e-06 3.78e-10  4.58e-01    22s
  33   1.01299216e+07  9.87720357e+06  1.14e-06 1.08e-10  3.39e-01    23s
  34   1.01248414e+07  9.90998479e+06  1.08e-06 8.88e-10  2.88e-01    23s
  35   1.01137529e+07  9.92162598e+06  9.62e-07 1.30e-09  2.58e-01    24s
  36   1.01031328e+07  9.93383737e+06  8.51e-07 4.66e-10  2.27e-01    24s
  37   1.00975464e+07  9.93690196e+06  7.93e-07 4.66e-10  2.15e-01    25s
  38   1.00908793e+07  9.94762101e+06  7.23e-07 3.64e-10  1.92e-01    25s
  39   1.00786275e+07  9.95640820e+06  5.95e-07 4.80e-10  1.64e-01    26s
  40   1.00751221e+07  9.95980749e+06  5.57e-07 2.91e-10  1.55e-01    26s
  41   1.00624152e+07  9.97520042e+06  4.26e-07 9.31e-10  1.17e-01    27s
  42   1.00576922e+07  9.98008152e+06  3.80e-07 1.19e-09  1.04e-01    28s
  43   1.00547686e+07  9.98238335e+06  3.51e-07 1.26e-09  9.70e-02    28s
  44   1.00537281e+07  9.98354669e+06  3.40e-07 1.23e-09  9.41e-02    28s
  45   1.00515904e+07  9.98520109e+06  3.17e-07 1.04e-09  8.90e-02    29s
  46   1.00510294e+07  9.98706936e+06  3.12e-07 7.79e-10  8.57e-02    29s
  47   1.00487282e+07  9.98857079e+06  2.89e-07 1.05e-09  8.06e-02    30s
  48   1.00450173e+07  9.99125221e+06  2.53e-07 8.37e-10  7.21e-02    30s
  49   1.00437486e+07  9.99212895e+06  2.41e-07 1.05e-09  6.92e-02    31s
  50   1.00416229e+07  9.99545085e+06  2.21e-07 6.55e-10  6.19e-02    32s
