
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 14:33:59 2017

Changed value of parameter logfile to result/NEIS-20170608T1411/scenario_base.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e-04, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 3.03s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.42s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   3.74649451e+11 -2.71577061e+11  8.80e+02 6.66e+03  2.06e+07     5s
   1   2.95698891e+11 -9.43007449e+10  6.48e+02 1.38e+04  6.76e+06     5s
   2   2.88731972e+11 -6.51976768e+10  6.38e+02 6.80e+03  5.94e+06     6s
   3   1.93386095e+11 -9.00810563e+10  4.18e+02 2.56e+02  3.97e+06     6s
   4   5.15200908e+09 -7.80674683e+10  5.91e+00 9.03e+00  1.60e+05     7s
   5   7.73185047e+08 -9.67621038e+09  5.71e-01 1.90e-05  1.62e+04     7s
   6   2.95602085e+08 -3.00971572e+09  1.19e-01 5.67e-06  4.61e+03     8s
   7   1.45370128e+08 -1.23582909e+09  2.12e-02 2.26e-06  1.87e+03     8s
   8   1.11453404e+08 -3.24529826e+08  1.16e-02 6.04e-07  5.87e+02     9s
   9   1.15286579e+08 -1.77872491e+08  1.11e-02 3.65e-07  3.95e+02    10s
  10   6.60340305e+07 -1.21835865e+08  4.39e-03 2.59e-07  2.52e+02    10s
  11   5.91116626e+07 -5.80569856e+07  2.16e-03 1.52e-07  1.57e+02    11s
  12   3.47668273e+07 -1.64801474e+07  6.51e-04 7.55e-08  6.87e+01    11s
  13   2.53821979e+07 -9.95143046e+06  3.83e-04 5.74e-08  4.74e+01    11s
  14   2.01068118e+07 -4.42944714e+05  2.28e-04 3.13e-08  2.76e+01    12s
  15   1.69737645e+07  4.00580329e+06  1.41e-04 1.95e-08  1.74e+01    12s
  16   1.54251958e+07  7.72425285e+06  1.01e-04 9.69e-09  1.03e+01    13s
  17   1.47190220e+07  9.68848156e+06  8.53e-05 3.65e-09  6.74e+00    14s
  18   1.38155497e+07  1.05245780e+07  6.32e-05 1.46e-09  4.41e+00    14s
  19   1.33959860e+07  1.06989673e+07  5.24e-05 8.51e-10  3.62e+00    15s
  20   1.31519849e+07  1.08567370e+07  4.61e-05 1.24e-09  3.08e+00    15s
  21   1.23864706e+07  1.09824514e+07  2.66e-05 4.80e-10  1.88e+00    16s
  22   1.20383145e+07  1.11123523e+07  1.81e-05 4.80e-10  1.24e+00    16s
  23   1.19721809e+07  1.11277893e+07  1.65e-05 3.20e-10  1.13e+00    17s
  24   1.18950322e+07  1.11459242e+07  1.47e-05 1.85e-10  1.00e+00    17s
  25   1.17718304e+07  1.11638617e+07  1.17e-05 1.92e-10  8.15e-01    18s
  26   1.17347313e+07  1.11929594e+07  1.08e-05 5.24e-10  7.26e-01    18s
  27   1.16726821e+07  1.12039557e+07  9.21e-06 4.15e-10  6.28e-01    19s
  28   1.16370528e+07  1.12182610e+07  8.30e-06 8.37e-10  5.61e-01    19s
  29   1.15977703e+07  1.12302529e+07  7.31e-06 4.37e-10  4.93e-01    20s
  30   1.15648029e+07  1.12434634e+07  6.54e-06 3.27e-10  4.31e-01    20s
  31   1.15436693e+07  1.12470766e+07  6.01e-06 6.33e-10  3.98e-01    21s
  32   1.14868721e+07  1.12539245e+07  4.72e-06 1.05e-09  3.12e-01    21s
  33   1.14418005e+07  1.12639977e+07  3.57e-06 1.16e-09  2.38e-01    22s
  34   1.14176533e+07  1.12685537e+07  2.96e-06 9.17e-10  2.00e-01    23s
  35   1.14030214e+07  1.12732935e+07  2.60e-06 1.94e-09  1.74e-01    23s
  36   1.13807226e+07  1.12769154e+07  2.02e-06 1.84e-09  1.39e-01    24s
  37   1.13694539e+07  1.12794510e+07  1.73e-06 1.79e-09  1.21e-01    24s
  38   1.13604893e+07  1.12838461e+07  1.50e-06 1.67e-09  1.03e-01    25s
  39   1.13558416e+07  1.12847403e+07  1.39e-06 2.20e-09  9.53e-02    25s
